booking_id,passenger_id,flight_row_id,booking_date,status,seat_number,passport_number,total_amount,payment_count,multiple_payment_attempts,flight_id,airline,source,destination,departure_time,arrival_time,duration_minutes,is_overnight,is_duration_anomaly,first_name,last_name,age,gender,booking_lead_time_days
B1010,P1743,1.0,2025-11-24 11:37:36.951,CONFIRMED,15B,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,0.0,1.0,False,AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,True,False,Saanvi,M***,79,F,147.4986661111111
B1011,P1092,37.0,2025-10-25 11:37:36.951,CONFIRMED,22C,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,2115.18,1.0,False,AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,True,False,Reyansh,V***,60,F,177.37783277777777
B1012,P1847,10.0,2025-08-15 11:37:36.951,PENDING,28B,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,23702.39,4.0,True,AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,True,False,Ananya,A***,3,F,248.46672165509258
B1013,P1613,41.0,2025-07-20 11:37:36.951,CONFIRMED,26E,fab85083e9f77799da2810373757ab2bcaba789e60580d046078a73a50453c99,1176.33,1.0,False,SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,True,False,Arjun,S***,62,F,274.3688049652778
B1014,P1411,23.0,2025-09-15 11:37:36.951,PENDING,21E,ce79ecb116713ff5346d04d528e0b69c111ddb29f89f71c7489847f9def6277f,,,,SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,True,False,Vivaan,G***,19,F,217.431305
B1015,P1431,2.0,2025-10-21 11:37:36.951,UNKNOWN,6F,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,19609.66,2.0,True,UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,True,False,Ishaan,P***,63,F,181.49241609953705
B1016,P1677,13.0,2026-01-13 11:37:36.951,CANCELLED,6A,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,23800.77,2.0,True,UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,True,False,Diya,N***,69,F,97.4632494212963
B1017,P1158,31.0,2026-04-04 11:37:36.951,CONFIRMED,13B,f27605d14d86e057ee7d1bb667412de210b87865cc6b2b19d6cf9c9030fc6f52,,,,UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,True,False,Muhammad,J***,42,M,16.416027199074072
B1018,P1013,6.0,2026-03-25 11:37:36.951,CANCELLED,19B,f08afc002842ef6c16197f0905029ce91549bdec0d015e96e30190fc31969a97,2588.63,1.0,False,6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,False,Sara,I***,53,M,26.477138333333333
B1019,P1372,21.0,2025-07-31 11:37:36.951,CANCELLED,19A,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,18621.0,3.0,True,6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,False,Arjun,N***,16,M,263.44519388888887
B1020,P1224,20.0,2025-12-06 11:37:36.951,CONFIRMED,27B,548bb24f886551bdb139f2dd77f8d6f472d18d3fd99a207204fc30e6ad2c5a90,8150.35,1.0,False,SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,True,False,Aadhya,G***,16,M,135.4465827662037
B1021,P1504,48.0,2025-12-07 11:37:36.951,CANCELLED,4E,a81b91b550af858b5813b47037200dedd33d200c4448b11e296e408de35de8df,6949.93,1.0,False,6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,True,False,Riya,G***,36,M,134.35074944444446
B1022,P1072,7.0,2026-03-25 11:37:36.951,CONFIRMED,16F,d10b00994471367e9ef55092ad4fdad4c157e38636d7981e73d0271f0f4b9562,,,,AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,True,False,Krishna,B***,18,M,26.476443877314818
B1023,P1248,33.0,2026-02-03 11:37:36.951,PENDING,24B,baf43ee0438d2412221049ea57b7cc8ae12e72fb43e4330b1dac75ca683c41b0,13057.27,1.0,False,6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,False,Saanvi,G***,23,M,76.39449944444445
B1024,P1510,55.0,2025-06-21 11:37:36.951,PENDING,30F,93992d112475cbf9a55b714ec62eeec9e22502e58494767bc38df2389738e843,4857.79,1.0,False,AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,True,False,Diya,C***,24,M,303.33338832175923
B1025,P1602,42.0,2026-03-18 11:37:36.951,PENDING,1B,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,36122.96,3.0,True,SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,True,False,Krishna,S***,67,F,33.367416087962965
B1026,P1215,15.0,2025-06-27 11:37:36.951,CONFIRMED,32C,56b08f0dbe81e0fd17a2f4fcf51d07e3893bf17d4a3de4b43cf344fcd3932fae,13204.36,2.0,True,AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,True,False,Ira,N***,75,M,297.46047164351853
B1027,P1972,51.0,2025-07-25 11:37:36.951,CONFIRMED,22A,5739e14cea5a14e268d82ad903d9cafa002c471187ff90bfaf9eb056abc7e070,7503.17,1.0,False,UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,True,False,Aditya,J***,1,F,269.34102719907406
B1028,P1601,17.0,2025-05-25 11:37:36.951,CANCELLED,26E,807a50e4d654f4cea485c6ebd7274f050195fed06f879b3f975a2ea1102d1213,,,,SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,True,False,Krishna,N***,39,M,330.4493605671296
B1029,P1540,8.0,2025-06-06 11:37:36.951,CANCELLED,19C,47899709761c35e8690311381c256b2ace1142579dbfbabbd5611fe4847d60b4,,,,6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,False,Kavya,K***,28,F,318.4757494212963
B1030,P1946,39.0,2026-03-18 11:37:36.951,CANCELLED,21E,d307a6378262c7c97a0e60c8f2f05e982b98a6d02bf77945a704c32d11bcac24,,,,6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,False,Aditya,M***,2,M,33.37366612268519
B1031,P1816,24.0,2025-11-16 11:37:36.951,CANCELLED,1E,62954bcb007746dbaec8db12bda3bb7a0172e448d87fb8570bf3aea1f29eb383,7056.42,1.0,False,AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,False,False,Shaurya,J***,45,F,155.43130497685186
B1032,P1938,22.0,2025-09-03 11:37:36.951,CANCELLED,18E,718575c7b7ffd0a23741e5ffd212fb012588f8db1b7b54f2e002d3792df04927,,,,UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,False,False,Reyansh,J***,33,F,229.43269386574073
B1033,P1987,29.0,2025-05-06 11:37:36.951,UNKNOWN,19A,a52d3cb89e597a683b8e4923f892a18b9cc227fa05208424f920f164b5149ef6,17076.39,3.0,True,UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,False,False,Saanvi,P***,83,F,349.417416087963
B1034,P1219,47.0,2025-12-31 11:37:36.951,CONFIRMED,22F,151e90282739e28aa3bcac20bd2620783b9466e601c1ebd3a504fdd82c37fab6,,,,SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,False,False,Muhammad,N***,24,M,110.35561055555556
B1035,P1839,9.0,2025-08-21 11:37:36.951,PENDING,11D,b20f5000d5f6615e42319e1f83503e20184791399b293b54e72a70c98fe7cccb,,,,6F251,UNKNOWN,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,False,Ishaan,N***,78,M,242.47158277777777
B1036,P1726,32.0,2025-11-24 11:37:36.951,PENDING,5B,138ba87501deb785f7f1ca7bf1f15783178fc5b5d828e5f569b9aa7c8bf32d58,5144.89,1.0,False,SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666,False,False,Muhammad,R***,32,M,147.40491609953705
B1037,P1220,45.0,2026-03-20 11:37:36.951,PENDING,33E,f583dd86ac1ab40cb5a19a1a3361bb223d0bfe35d9aef8f50d06436cb0051cf2,,,,AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,False,False,Shaurya,S***,69,F,31.360471666666665
B1038,P1388,26.0,2026-01-01 11:37:36.951,PENDING,12D,2269d969b6195ed518ce51572ce2699f9ff19ba2195a691dc4ecb3eb6a2b62b7,,,,SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,False,False,Reyansh,D***,58,M,109.42922165509259
B1039,P1553,25.0,2025-08-21 11:37:36.951,CONFIRMED,11E,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,24656.690000000002,3.0,True,SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,False,False,Anika,K***,57,M,242.4299161111111
B1040,P1646,18.0,2025-08-08 11:37:36.951,CONFIRMED,26B,bcd1bf6246a8cf6477aa216c1deb2f96288f371bb92207024ee28f4c3b5758e1,,,,6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,False,Ananya,G***,57,F,255.44936054398147
B1041,P1041,59.0,2025-05-28 11:37:36.951,CONFIRMED,25C,86e67dbe9d95297aa5cdd7d7430bac23c7c85f7b1094844241d74ea65dd7c047,23580.18,2.0,True,UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,False,False,Shaurya,G***,51,F,327.29449944444445
B1042,P1675,34.0,2025-12-02 11:37:36.951,CANCELLED,24F,8e2d9b98b2af010a6674cd2be08b1dee592135a6d9f3e13e3d44518d1e531a12,14402.39,1.0,False,UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,False,Myra,D***,6,F,139.38686055555556
B1043,P1872,27.0,2025-11-22 11:37:36.951,CANCELLED,8E,af93a48a3274117cf67cda9e45fa3099ebf7c73e5d88b05f9e7bb825909489a8,8291.6,1.0,False,6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,False,Krishna,J***,8,M,149.4215827777778
B1044,P1282,30.0,2026-04-12 11:37:36.951,PENDING,16C,16e174d0fb53c3ef2600c14f80d1b1dbc2b2ea88a664ec0d44404c7f2489a05a,1199.88,1.0,False,6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,False,Kavya,C***,35,M,8.416027222222223
B1045,P1057,35.0,2026-03-19 11:37:36.951,UNKNOWN,18C,fb7a1818d6acdfde779a7d20c0b6a295a36f4307df85ca80e7523565d13b1245,6732.210000000001,3.0,True,SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,False,Ishaan,G***,44,M,32.38686055555555
B1046,P1813,40.0,2025-10-14 11:37:36.951,CONFIRMED,2C,ec8af10a02df2459541944cd23a5bc1c5aef5a9bc6b6bf4f0c9ebbcdbbecf36d,26282.309999999998,2.0,True,UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,False,Kavya,J***,34,M,188.37227719907406
B1047,P1833,53.0,2025-12-29 11:37:36.951,PENDING,7C,06fc223a46a46707a35e6a4569ecc688e8b1d80c03429bc85488c65cec015883,,,,6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,False,Aadhya,D***,47,M,112.33824944444444
B1048,P1536,65.0,2025-09-19 11:37:36.951,PENDING,18C,8ca1865bfad8bc2ffa1453cd4ace62ef09e95e70ee7716c66e2aa2d21bdbb85c,,,,SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,False,False,Riya,N***,19,F,213.2681105671296
B1049,P1072,38.0,2025-07-28 11:37:36.951,INVALID,3C,3da7675b6ee8e5571bc322267b654bd2caf1032cbce05858694bf247b3d08f2c,,,,SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,False,Krishna,B***,18,M,266.3750549884259
B1050,P1884,44.0,2026-01-15 11:37:36.951,PENDING,7D,0d72266c43031d8075a9ca2122f0e9b2a82cdf0c31185daa56e2456ab262f4e9,13350.33,1.0,False,AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,False,False,Ananya,C***,70,F,95.362555
B1051,P1922,50.0,2025-07-05 11:37:36.951,CANCELLED,16A,720bfb736136a3f49714ae69486aa3516a34fca8fa71c12b03b2a9c1a7c44c4c,10875.08,1.0,False,6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,False,Aditya,G***,70,F,289.3417216435185
B1052,P1128,57.0,2025-12-30 11:37:36.951,CANCELLED,33B,733cfebca1a82851626f27e20efa6e86b139c080846fc19239d822e20136f779,9827.3,1.0,False,UK209,UNKNOWN,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,False,False,Diya,P***,35,M,111.30908278935186
B1053,P1598,60.0,2026-04-01 11:37:36.951,PENDING,28B,399a80b00d6a0a5806b1cefc245c3b406657819c79017d6d7fad319c09211dab,7702.52,2.0,True,UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,False,False,Aadhya,G***,39,M,19.288943900462964
B1054,P1841,56.0,2026-04-11 11:37:36.951,CANCELLED,19C,92064bfc79f8368f0179b8de82d8781456f621569b8d34f5014231604f2a3dc1,,,,AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,False,False,Diya,D***,2,M,9.329916099537037
B1055,P1425,64.0,2025-10-14 11:37:36.951,CANCELLED,13F,08dbe884a6f408988d6490a34f80a501df250aed0c238ee8e4d692b3b693d6ed,,,,6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,False,Aarav,G***,48,M,188.27019386574074
B1056,P1947,75.0,2026-03-24 11:37:36.951,CANCELLED,15B,f380fadf17567f8778a48f283ec28410a2d8ef3c35823b648832eb4df71bf780,3173.87,2.0,True,UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,False,False,Muhammad,S***,13,M,27.22852722222222
B1057,P1664,36.0,2025-08-20 11:37:36.951,CANCELLED,14F,a40b7e364b4f13f0557857ca6cc75203dc689c4fa8af12869370a73f5ee484a1,12211.199999999999,2.0,True,SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,False,Myra,N***,27,M,243.37991608796295
B1058,P1693,58.0,2025-12-07 11:37:36.951,PENDING,8C,f93fc5b8f41c836b896bf9d7b20c5ffc6bbf0f35a4f18571c04f350279b06663,,,,SJ043,UNKNOWN,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,False,False,Ira,G***,89,M,134.3069994212963
B1059,P1124,54.0,2026-01-03 11:37:36.951,CONFIRMED,23B,932065e04863f4c659e279065df5b3b5fc99642c2f6f90291f1326916fa126a7,10839.07,1.0,False,UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,False,False,Myra,V***,88,M,107.33338833333333
B1060,P1066,43.0,2025-12-30 11:37:36.951,CONFIRMED,11A,05f3d6b7a3517179f6b637c01087312a8eaae27562b862a9f26de0dd2bc6f683,11681.98,1.0,False,6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,False,Riya,S***,2,F,111.36533276620371
B1061,P1005,46.0,2026-04-05 11:37:36.951,CANCELLED,19C,0296cf4c371c103a8f75c9777a19d515d8f20157481c61d628027c01bba7d41b,31579.800000000003,3.0,True,6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,False,Reyansh,J***,83,M,15.356304988425926
B1062,P1636,77.0,2025-06-12 11:37:36.951,CANCELLED,15D,cdfa84a9b9646477d516d38ebc6afa6d79aa71c4737459149388ccd94f0feca8,,,,UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,False,False,Reyansh,G***,47,F,312.21880500000003
B1063,P1313,66.0,2025-05-19 11:37:36.951,CANCELLED,9A,26fe229152e764c4f33a03c4ed954509e4866712a76e13c10746934acb1f2dcd,,,,6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,False,Aarav,N***,64,M,336.2639438888889
B1064,P1325,62.0,2025-09-14 11:37:36.951,CONFIRMED,24E,da6bd392194e07308054e475433f6af7458f9e3a631aaeb15a6abcb45deeb01d,14413.72,1.0,False,UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,False,False,Ananya,B***,46,M,218.28686055555556
B1065,P1564,68.0,2026-03-06 11:37:36.951,CANCELLED,7B,4b8e984326743f031008e8ac68017ce6cd5d936c14192a39ff48ec4a04d632fb,,,,UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,False,False,Saanvi,C***,18,M,45.26116608796296
B1066,P1577,49.0,2025-11-05 11:37:36.951,PENDING,1B,3cb2c86e89a96e355b86d03374a383c704f3c626d6ee69c7516433df53760d87,,,,SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,False,False,Shaurya,J***,27,F,166.34241608796296
B1067,P1825,52.0,2025-07-23 11:37:36.951,PENDING,7F,c25bf736040d96af978f325b73e2f2a38cd64416781667c401b9f6c4c1730ec7,17433.34,3.0,True,SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,False,False,Ishaan,I***,61,M,271.3389438888889
B1068,P1505,88.0,2025-11-22 11:37:36.951,PENDING,23A,4e6c0aada89e3523e1c4cd6c37eda829bbe01cb720cf505c725b4c686c471d84,5274.94,1.0,False,UK224,UNKNOWN,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,False,False,Myra,M***,89,F,149.20005501157408
B1069,P1081,72.0,2025-08-02 11:37:36.951,CONFIRMED,16E,a62394e2c13ca2315ea394f03b587a3489bef477d9588ca0f4881b23ce4310c0,14992.95,1.0,False,UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,False,False,Kavya,G***,78,M,261.2410272222222
B1070,P1598,103.0,2025-09-22 11:37:36.951,CANCELLED,15D,460fb46958bd358e33d19bf2d0781731e88c4d4ff6bee3674d4da035a45b49a4,5631.13,1.0,False,SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,False,False,Aadhya,G***,39,M,210.15491608796296
B1071,P1001,69.0,2025-12-21 11:37:36.951,CANCELLED,15F,3908c87404af101bb95eb2af92c157053dca2b0c71fc115cb1f977dcd0b49320,,,,UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,False,False,Krishna,R***,15,M,120.25074945601853
B1072,P1203,93.0,2025-08-10 11:37:36.951,CANCELLED,18F,829a5131166353efc36e4b1f9d3ca72ba4d24379164ba1fa6757e3bd9c2eb1c2,,,,UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,False,False,Aadhya,N***,54,M,253.167416099537
B1073,P1661,101.0,2025-12-04 11:37:36.951,CONFIRMED,16A,2f3fda6f401627a4f10cdc01f10605473c1bb1c281f501912116a2d72e2ac3bc,,,,6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,False,Krishna,N***,28,F,137.1576938888889
B1074,P1804,108.0,2025-09-25 11:37:36.951,CONFIRMED,7A,2b7e5c29878ccee9576d9888bbee5ee8f6fab614742d2f5c6c5bd8c80334f512,,,,6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,False,Muhammad,B***,42,F,207.1389438888889
B1075,P1403,95.0,2026-01-03 11:37:36.951,CONFIRMED,2F,5a8625975fd85a292cbd06dbc38d7d26e047e4ae096b728163dd891967ba07b5,,,,UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,False,False,Myra,G***,6,M,107.16394387731482
B1076,P1102,79.0,2025-05-04 11:37:36.951,CONFIRMED,12B,dab6677257e0df4d2575951ff59115be6d0dfa8437c7c2100529a7df0904e3e8,8247.5,1.0,False,UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,False,Myra,K***,1,F,351.21602719907406
B1077,P1535,80.0,2025-05-03 11:37:36.951,PENDING,3A,d6789f8b10569f0b1c1a0792e158d54a3618262807fed1ccbfe675bedf73d16f,11261.699999999999,2.0,True,UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,False,False,Arjun,P***,61,F,352.21324944444444
B1078,P1367,110.0,2025-09-21 11:37:36.951,CONFIRMED,1B,daeb52205df087feada170916b6244d00107ecd2266e588b7fb4eed40899c9f7,,,,6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,False,Reyansh,D***,36,F,211.1375549884259
B1079,P1211,115.0,2025-06-03 11:37:36.951,CONFIRMED,10D,04dd042c1e1ab3ff68ba723e43e89deed7eaac83a5a09a6c50950f1ddfbd6ae6,,,,SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,False,False,Ishaan,A***,70,F,321.1278327662037
B1080,P1576,71.0,2025-06-05 11:37:36.951,CONFIRMED,22D,ed6b7590cce5d1cf929d7e7a9dc8bf82120f7e9abdcc42f478669c79ef27d4b4,21169.42,2.0,True,SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,False,False,Ira,N***,50,M,319.2431105324074
B1081,P1960,73.0,2025-11-13 11:37:36.951,CANCELLED,29C,fc5693cfa4ecd4c4169ae4146eb4cd50c46d977fcabd6fae936f04cb2c65dd6e,,,,SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,False,False,Kavya,M***,35,M,158.23894388888888
B1082,P1208,96.0,2025-09-09 11:37:36.951,CANCELLED,30A,8d8e07d18c560ccc64998306492c429138dcb592202f3528e8d15e3b0ae49d3e,,,,SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,False,False,Aarav,J***,53,M,223.1639438773148
B1083,P1762,70.0,2025-05-12 11:37:36.951,CANCELLED,9A,7692ebdaa67d0145af8800d55d19e4f5cc7b15fa640536b30e6fd05c6783fcd4,6777.38,1.0,False,SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,False,False,Sara,N***,30,M,343.2472772106481
