booking_id,passenger_id,flight_row_id,booking_date,status,seat_number,passport_number,total_amount,payment_count,multiple_payment_attempts
B1013,P1613,41.0,2025-07-20 11:37:36.951,CONFIRMED,26E,fab85083e9f77799da2810373757ab2bcaba789e60580d046078a73a50453c99,1176.33,1.0,False
B1014,P1411,23.0,2025-09-15 11:37:36.951,PENDING,21E,ce79ecb116713ff5346d04d528e0b69c111ddb29f89f71c7489847f9def6277f,,,
B1015,P1431,2.0,2025-10-21 11:37:36.951,UNKNOWN,6F,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,19609.66,2.0,True
B1016,P1677,13.0,2026-01-13 11:37:36.951,CANCELLED,6A,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,23800.77,2.0,True
B1017,P1158,31.0,2026-04-04 11:37:36.951,CONFIRMED,13B,f27605d14d86e057ee7d1bb667412de210b87865cc6b2b19d6cf9c9030fc6f52,,,
B1018,P1013,6.0,2026-03-25 11:37:36.951,CANCELLED,19B,f08afc002842ef6c16197f0905029ce91549bdec0d015e96e30190fc31969a97,2588.63,1.0,False
B1019,P1372,21.0,2025-07-31 11:37:36.951,CANCELLED,19A,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,18621.0,3.0,True
B1020,P1224,20.0,2025-12-06 11:37:36.951,CONFIRMED,27B,548bb24f886551bdb139f2dd77f8d6f472d18d3fd99a207204fc30e6ad2c5a90,8150.35,1.0,False
B1021,P1504,48.0,2025-12-07 11:37:36.951,CANCELLED,4E,a81b91b550af858b5813b47037200dedd33d200c4448b11e296e408de35de8df,6949.93,1.0,False
B1022,P1072,7.0,2026-03-25 11:37:36.951,CONFIRMED,16F,d10b00994471367e9ef55092ad4fdad4c157e38636d7981e73d0271f0f4b9562,,,
B1023,P1248,33.0,2026-02-03 11:37:36.951,PENDING,24B,baf43ee0438d2412221049ea57b7cc8ae12e72fb43e4330b1dac75ca683c41b0,13057.27,1.0,False
B1024,P1510,55.0,2025-06-21 11:37:36.951,PENDING,30F,93992d112475cbf9a55b714ec62eeec9e22502e58494767bc38df2389738e843,4857.79,1.0,False
B1025,P1602,42.0,2026-03-18 11:37:36.951,PENDING,1B,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,36122.96,3.0,True
B1026,P1215,15.0,2025-06-27 11:37:36.951,CONFIRMED,32C,56b08f0dbe81e0fd17a2f4fcf51d07e3893bf17d4a3de4b43cf344fcd3932fae,13204.36,2.0,True
B1027,P1972,51.0,2025-07-25 11:37:36.951,CONFIRMED,22A,5739e14cea5a14e268d82ad903d9cafa002c471187ff90bfaf9eb056abc7e070,7503.17,1.0,False
B1028,P1601,17.0,2025-05-25 11:37:36.951,CANCELLED,26E,807a50e4d654f4cea485c6ebd7274f050195fed06f879b3f975a2ea1102d1213,,,
B1029,P1540,8.0,2025-06-06 11:37:36.951,CANCELLED,19C,47899709761c35e8690311381c256b2ace1142579dbfbabbd5611fe4847d60b4,,,
B1030,P1946,39.0,2026-03-18 11:37:36.951,CANCELLED,21E,d307a6378262c7c97a0e60c8f2f05e982b98a6d02bf77945a704c32d11bcac24,,,
B1031,P1816,24.0,2025-11-16 11:37:36.951,CANCELLED,1E,62954bcb007746dbaec8db12bda3bb7a0172e448d87fb8570bf3aea1f29eb383,7056.42,1.0,False
B1032,P1938,22.0,2025-09-03 11:37:36.951,CANCELLED,18E,718575c7b7ffd0a23741e5ffd212fb012588f8db1b7b54f2e002d3792df04927,,,
B1033,P1987,29.0,2025-05-06 11:37:36.951,UNKNOWN,19A,a52d3cb89e597a683b8e4923f892a18b9cc227fa05208424f920f164b5149ef6,17076.39,3.0,True
B1034,P1219,47.0,2025-12-31 11:37:36.951,CONFIRMED,22F,151e90282739e28aa3bcac20bd2620783b9466e601c1ebd3a504fdd82c37fab6,,,
B1035,P1839,9.0,2025-08-21 11:37:36.951,PENDING,11D,b20f5000d5f6615e42319e1f83503e20184791399b293b54e72a70c98fe7cccb,,,
B1036,P1726,32.0,2025-11-24 11:37:36.951,PENDING,5B,138ba87501deb785f7f1ca7bf1f15783178fc5b5d828e5f569b9aa7c8bf32d58,5144.89,1.0,False
B1037,P1220,45.0,2026-03-20 11:37:36.951,PENDING,33E,f583dd86ac1ab40cb5a19a1a3361bb223d0bfe35d9aef8f50d06436cb0051cf2,,,
B1038,P1388,26.0,2026-01-01 11:37:36.951,PENDING,12D,2269d969b6195ed518ce51572ce2699f9ff19ba2195a691dc4ecb3eb6a2b62b7,,,
B1039,P1553,25.0,2025-08-21 11:37:36.951,CONFIRMED,11E,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,24656.690000000002,3.0,True
B1040,P1646,18.0,2025-08-08 11:37:36.951,CONFIRMED,26B,bcd1bf6246a8cf6477aa216c1deb2f96288f371bb92207024ee28f4c3b5758e1,,,
B1041,P1041,59.0,2025-05-28 11:37:36.951,CONFIRMED,25C,86e67dbe9d95297aa5cdd7d7430bac23c7c85f7b1094844241d74ea65dd7c047,23580.18,2.0,True
B1042,P1675,34.0,2025-12-02 11:37:36.951,CANCELLED,24F,8e2d9b98b2af010a6674cd2be08b1dee592135a6d9f3e13e3d44518d1e531a12,14402.39,1.0,False
B1043,P1872,27.0,2025-11-22 11:37:36.951,CANCELLED,8E,af93a48a3274117cf67cda9e45fa3099ebf7c73e5d88b05f9e7bb825909489a8,8291.6,1.0,False
B1044,P1282,30.0,2026-04-12 11:37:36.951,PENDING,16C,16e174d0fb53c3ef2600c14f80d1b1dbc2b2ea88a664ec0d44404c7f2489a05a,1199.88,1.0,False
B1045,P1057,35.0,2026-03-19 11:37:36.951,UNKNOWN,18C,fb7a1818d6acdfde779a7d20c0b6a295a36f4307df85ca80e7523565d13b1245,6732.210000000001,3.0,True
B1046,P1813,40.0,2025-10-14 11:37:36.951,CONFIRMED,2C,ec8af10a02df2459541944cd23a5bc1c5aef5a9bc6b6bf4f0c9ebbcdbbecf36d,26282.309999999998,2.0,True
B1047,P1833,53.0,2025-12-29 11:37:36.951,PENDING,7C,06fc223a46a46707a35e6a4569ecc688e8b1d80c03429bc85488c65cec015883,,,
B1048,P1536,65.0,2025-09-19 11:37:36.951,PENDING,18C,8ca1865bfad8bc2ffa1453cd4ace62ef09e95e70ee7716c66e2aa2d21bdbb85c,,,
B1049,P1072,38.0,2025-07-28 11:37:36.951,INVALID,3C,3da7675b6ee8e5571bc322267b654bd2caf1032cbce05858694bf247b3d08f2c,,,
B1050,P1884,44.0,2026-01-15 11:37:36.951,PENDING,7D,0d72266c43031d8075a9ca2122f0e9b2a82cdf0c31185daa56e2456ab262f4e9,13350.33,1.0,False
B1051,P1922,50.0,2025-07-05 11:37:36.951,CANCELLED,16A,720bfb736136a3f49714ae69486aa3516a34fca8fa71c12b03b2a9c1a7c44c4c,10875.08,1.0,False
B1052,P1128,57.0,2025-12-30 11:37:36.951,CANCELLED,33B,733cfebca1a82851626f27e20efa6e86b139c080846fc19239d822e20136f779,9827.3,1.0,False
B1053,P1598,60.0,2026-04-01 11:37:36.951,PENDING,28B,399a80b00d6a0a5806b1cefc245c3b406657819c79017d6d7fad319c09211dab,7702.52,2.0,True
B1054,P1841,56.0,2026-04-11 11:37:36.951,CANCELLED,19C,92064bfc79f8368f0179b8de82d8781456f621569b8d34f5014231604f2a3dc1,,,
B1055,P1425,64.0,2025-10-14 11:37:36.951,CANCELLED,13F,08dbe884a6f408988d6490a34f80a501df250aed0c238ee8e4d692b3b693d6ed,,,
B1056,P1947,75.0,2026-03-24 11:37:36.951,CANCELLED,15B,f380fadf17567f8778a48f283ec28410a2d8ef3c35823b648832eb4df71bf780,3173.87,2.0,True
B1057,P1664,36.0,2025-08-20 11:37:36.951,CANCELLED,14F,a40b7e364b4f13f0557857ca6cc75203dc689c4fa8af12869370a73f5ee484a1,12211.199999999999,2.0,True
B1058,P1693,58.0,2025-12-07 11:37:36.951,PENDING,8C,f93fc5b8f41c836b896bf9d7b20c5ffc6bbf0f35a4f18571c04f350279b06663,,,
B1059,P1124,54.0,2026-01-03 11:37:36.951,CONFIRMED,23B,932065e04863f4c659e279065df5b3b5fc99642c2f6f90291f1326916fa126a7,10839.07,1.0,False
B1060,P1066,43.0,2025-12-30 11:37:36.951,CONFIRMED,11A,05f3d6b7a3517179f6b637c01087312a8eaae27562b862a9f26de0dd2bc6f683,11681.98,1.0,False
B1061,P1005,46.0,2026-04-05 11:37:36.951,CANCELLED,19C,0296cf4c371c103a8f75c9777a19d515d8f20157481c61d628027c01bba7d41b,31579.800000000003,3.0,True
B1062,P1636,77.0,2025-06-12 11:37:36.951,CANCELLED,15D,cdfa84a9b9646477d516d38ebc6afa6d79aa71c4737459149388ccd94f0feca8,,,
B1063,P1313,66.0,2025-05-19 11:37:36.951,CANCELLED,9A,26fe229152e764c4f33a03c4ed954509e4866712a76e13c10746934acb1f2dcd,,,
B1064,P1325,62.0,2025-09-14 11:37:36.951,CONFIRMED,24E,da6bd392194e07308054e475433f6af7458f9e3a631aaeb15a6abcb45deeb01d,14413.72,1.0,False
B1065,P1564,68.0,2026-03-06 11:37:36.951,CANCELLED,7B,4b8e984326743f031008e8ac68017ce6cd5d936c14192a39ff48ec4a04d632fb,,,
B1066,P1577,49.0,2025-11-05 11:37:36.951,PENDING,1B,3cb2c86e89a96e355b86d03374a383c704f3c626d6ee69c7516433df53760d87,,,
B1067,P1825,52.0,2025-07-23 11:37:36.951,PENDING,7F,c25bf736040d96af978f325b73e2f2a38cd64416781667c401b9f6c4c1730ec7,17433.34,3.0,True
B1068,P1505,88.0,2025-11-22 11:37:36.951,PENDING,23A,4e6c0aada89e3523e1c4cd6c37eda829bbe01cb720cf505c725b4c686c471d84,5274.94,1.0,False
B1069,P1081,72.0,2025-08-02 11:37:36.951,CONFIRMED,16E,a62394e2c13ca2315ea394f03b587a3489bef477d9588ca0f4881b23ce4310c0,14992.95,1.0,False
B1070,P1598,103.0,2025-09-22 11:37:36.951,CANCELLED,15D,460fb46958bd358e33d19bf2d0781731e88c4d4ff6bee3674d4da035a45b49a4,5631.13,1.0,False
B1071,P1001,69.0,2025-12-21 11:37:36.951,CANCELLED,15F,3908c87404af101bb95eb2af92c157053dca2b0c71fc115cb1f977dcd0b49320,,,
B1072,P1203,93.0,2025-08-10 11:37:36.951,CANCELLED,18F,829a5131166353efc36e4b1f9d3ca72ba4d24379164ba1fa6757e3bd9c2eb1c2,,,
B1073,P1661,101.0,2025-12-04 11:37:36.951,CONFIRMED,16A,2f3fda6f401627a4f10cdc01f10605473c1bb1c281f501912116a2d72e2ac3bc,,,
B1074,P1804,108.0,2025-09-25 11:37:36.951,CONFIRMED,7A,2b7e5c29878ccee9576d9888bbee5ee8f6fab614742d2f5c6c5bd8c80334f512,,,
B1075,P1403,95.0,2026-01-03 11:37:36.951,CONFIRMED,2F,5a8625975fd85a292cbd06dbc38d7d26e047e4ae096b728163dd891967ba07b5,,,
B1076,P1102,79.0,2025-05-04 11:37:36.951,CONFIRMED,12B,dab6677257e0df4d2575951ff59115be6d0dfa8437c7c2100529a7df0904e3e8,8247.5,1.0,False
B1077,P1535,80.0,2025-05-03 11:37:36.951,PENDING,3A,d6789f8b10569f0b1c1a0792e158d54a3618262807fed1ccbfe675bedf73d16f,11261.699999999999,2.0,True
B1078,P1367,110.0,2025-09-21 11:37:36.951,CONFIRMED,1B,daeb52205df087feada170916b6244d00107ecd2266e588b7fb4eed40899c9f7,,,
B1079,P1211,115.0,2025-06-03 11:37:36.951,CONFIRMED,10D,04dd042c1e1ab3ff68ba723e43e89deed7eaac83a5a09a6c50950f1ddfbd6ae6,,,
B1080,P1576,71.0,2025-06-05 11:37:36.951,CONFIRMED,22D,ed6b7590cce5d1cf929d7e7a9dc8bf82120f7e9abdcc42f478669c79ef27d4b4,21169.42,2.0,True
B1081,P1960,73.0,2025-11-13 11:37:36.951,CANCELLED,29C,fc5693cfa4ecd4c4169ae4146eb4cd50c46d977fcabd6fae936f04cb2c65dd6e,,,
B1082,P1208,96.0,2025-09-09 11:37:36.951,CANCELLED,30A,8d8e07d18c560ccc64998306492c429138dcb592202f3528e8d15e3b0ae49d3e,,,
B1083,P1762,70.0,2025-05-12 11:37:36.951,CANCELLED,9A,7692ebdaa67d0145af8800d55d19e4f5cc7b15fa640536b30e6fd05c6783fcd4,6777.38,1.0,False
B1084,P1896,63.0,2025-06-14 11:37:36.951,PENDING,16E,a73f4fb59b6adb795facf290c7ed40ee09e7b2e549c3801315fab3501284fe55,,,
B1085,P1116,61.0,2026-03-24 11:37:36.951,PENDING,12A,b5445c25a22ff18266161cffe871f660364a294ff5ad901e15961e3e920a0c8b,11410.8,1.0,False
B1086,P1627,84.0,2026-02-16 11:37:36.951,CONFIRMED,5D,353ce93dac98d0e1fe3daea08524868a077864020801fe4fed7b873911e26bcd,4873.96,2.0,True
B1087,P1748,91.0,2025-05-08 11:37:36.951,CANCELLED,2F,b5b24442fce4fc3e4c47c334e5aafda02cad58497dd565ba95194ee25a76de21,3191.92,2.0,True
B1088,P1477,76.0,2026-03-25 11:37:36.951,PENDING,31A,787ca2cc91810d7a593c9a3f8790425f9de3c537a5036212e39ed11d114f0712,7375.1,1.0,False
B1089,P1104,105.0,2025-09-03 11:37:36.951,CANCELLED,25F,9fe4832e466051710b143e91a6643907017d4554ae77e31fdd4147b57dcad8b0,,,
B1090,P1494,82.0,2025-05-16 11:37:36.951,PENDING,31C,7839eaee1278bad25669ee52fa112e4613f33625938f198a2c7e5da28f65288a,,,
B1091,P1770,74.0,2025-08-18 11:37:36.951,PENDING,25D,dc742f97ecc693fb1c1711a3f47c48f970b04e254c884f5fc16b4200f8a8ef15,,,
B1092,P1045,78.0,2026-03-18 11:37:36.951,CONFIRMED,16D,eeefb195c43465650e41222d8ec02280cbfa2d906e7b9e21af76d5308ac9485e,15898.93,3.0,True
B1093,P1822,81.0,2025-05-11 11:37:36.951,CONFIRMED,25E,c6dfeae13ecd8e6996b85377bb6310f13e68dfd2cf3cb1d3e88fdcd90ba886b1,,,
B1094,P1330,67.0,2026-01-07 11:37:36.951,PENDING,24C,95c4cf1c17f97b6f005ab9388c5dbd699c0322a48599e6583859784d51fc5367,17560.29,2.0,True
B1095,P1215,85.0,2025-07-30 11:37:36.951,CONFIRMED,14B,3780979a5959ac4faa776a59f56c65b366f92e3d05c07fbe37b67c4b3074aa35,,,
B1096,P1981,87.0,2026-01-03 11:37:36.951,PENDING,12B,b80bb2ec148699cb0a5dc2f100eb3af521e99b0b5b32ceb4a78b26ce3c02df54,18163.89,2.0,True
B1097,P1959,99.0,2025-08-26 11:37:36.951,UNKNOWN,34F,f7e02a56d9f1abe890dbafe442a14b1660fc9b577d164ddf3ba99ce2b77fdffa,,,
B1098,P1491,100.0,2025-10-15 11:37:36.951,UNKNOWN,13D,fb89aebe8aba117049d91464dd47586b549d7d7f03aca0dd4f7b4390eebad7cc,10455.66,1.0,False
B1099,P1812,118.0,2025-12-07 11:37:36.951,CONFIRMED,26E,693da76722da27aea25f7aba4cebcb0690a886150638ba2eebbab7940d415d0f,,,
B1100,P1921,89.0,2026-03-05 11:37:36.951,CONFIRMED,16D,eb419af2876a17e8da966fc8cddd2979c490e492aa67c9e0ce32bb667be34bcc,,,
B1101,P1844,133.0,2025-07-19 11:37:36.951,CONFIRMED,3D,2b318a4903e34f1dc87206c36862559a5b0509e15db3d18b36ffa4e093f535ed,2214.47,1.0,False
B1102,P1448,107.0,2025-10-06 11:37:36.951,INVALID,15F,3af30f986bc10fdfa6699726f4217395831090604b2908b3ebff7a84a9e2e1df,24626.690000000002,2.0,True
B1103,P1535,83.0,2025-08-08 11:37:36.951,CANCELLED,20D,da51ed01fc777418bd54cbd22abb9679cbaefa928a792346da5bbbac7e4c90b2,14062.55,2.0,True
B1104,P1510,83.0,2025-09-12 11:37:36.951,CANCELLED,16E,c2b4835877d40b7a2f74add8237548e055a054b31dcfee5c65a727f549b8bfa7,,,
B1105,P1457,106.0,2025-09-11 11:37:36.951,CONFIRMED,19F,1d3dac43b1594a125129d3589980032e017addb2af0d76cbcdb6970d3cffed4a,14294.21,1.0,False
B1106,P1546,86.0,2025-09-01 11:37:36.951,CONFIRMED,21F,60b7af71e1bbb27bcfa3e329467ab95b4f47075c13b129a2c7f77acdffd970b5,0.0,1.0,False
B1107,P1535,130.0,2025-05-19 11:37:36.951,CONFIRMED,30F,6a1fb7f1be0bccc719128235c39490c426edc0e75bffc7ccedef555c58ef7fe3,,,
B1108,P1539,90.0,2025-10-11 11:37:36.951,CANCELLED,14B,324fbc9c9b6f4a77972f5f7155e1baf03209043f5b91233edb2ad37b8b76c2d4,,,
B1109,P1483,142.0,2025-12-03 11:37:36.951,CANCELLED,33D,320a00e4dcb1563612c50d8a3682de94cbfb905cbe279cc8f304278ac007eace,13080.08,1.0,False
B1110,P1975,116.0,2025-12-17 11:37:36.951,PENDING,12B,3f1988a5001b2e1bc8660720ab460f52b397a7dcdd1678cdfd6c28322a2d06c2,,,
B1111,P1999,129.0,2025-12-25 11:37:36.951,CANCELLED,34A,931436b7fc1d5cfffc56146a26515320beb07e248cee82efadb991d9f3a83c5e,0.0,1.0,False
B1112,P1015,102.0,2025-10-02 11:37:36.951,PENDING,27A,549b6d9a573b2201670570152d6aaf9917953310122c1fd0f5f1b8136998daae,20662.78,2.0,True
B1113,P1570,141.0,2025-11-23 11:37:36.951,CONFIRMED,5A,789f60f2609362220be53b346448ec96e5328b933250c83673c8127d067060f2,9457.62,1.0,False
B1114,P1976,98.0,2025-09-26 11:37:36.951,CANCELLED,2E,8dfedddcce75255575c53951ce274f62d6a5dfb6bba9f99cd1d497dda63f7a54,8187.33,1.0,False
B1115,P1242,112.0,2025-08-23 11:37:36.951,CONFIRMED,10A,26050249f05f3f74ae93aecaf8510fd8f754273786b36f388d7b6756c60f32f3,8185.02,1.0,False
B1116,P1949,120.0,2025-12-05 11:37:36.951,CONFIRMED,19B,89c9ea9c8f3c9e814c565ec654ca76141debb09154b451792001424a3669062b,9883.49,1.0,False
B1117,P1206,121.0,2025-09-02 11:37:36.951,CONFIRMED,28F,872278f4b558af07da25e8c83ddb0b4f2b5d47e01ea7f86cf70f9e2ca2703e4a,24642.71,2.0,True
B1118,P1911,92.0,2026-04-03 11:37:36.951,CONFIRMED,34B,fc3df106b0b211795b8d39ff375b53dce925e9080ec53a4af57a0f4d733148b2,0.0,1.0,False
B1119,P1270,137.0,2025-11-25 11:37:36.951,CANCELLED,21F,11657afab1fb6dc9b513a3f42617d9e039ee25b915dad9f4a6ea448c16c90c2d,22268.71,2.0,True
B1120,P1760,104.0,2025-08-12 11:37:36.951,CONFIRMED,12D,b84615456a996ebe5853dd99e9bbd2d5efa4e92e9c7b1906800e7687f7414715,2571.48,3.0,True
B1121,P1993,104.0,2025-06-01 11:37:36.951,PENDING,17C,d6c9529c06c807cbd2b93128349d63a1ddc1158acaad1ad9e1fc2ff26388e1c7,,,
B1122,P1778,132.0,2025-05-02 11:37:36.951,CANCELLED,20B,14b099409634db76e54dd2740662d7fdf53e6ee427db166ef74d444e3fd8d123,,,
B1123,P1704,97.0,2025-09-23 11:37:36.951,CONFIRMED,8A,84b99269d7259fde4f6cc144fabcc29e82433a2ed4f5ca68aeffb158142f79bb,14525.48,2.0,True
B1124,P1846,117.0,2025-05-23 11:37:36.951,CANCELLED,5C,789b2151d973ab83196726feb632ac5789d32c504f0fe0cc23d232eee93c006b,15753.68,3.0,True
B1125,P1729,109.0,2026-01-15 11:37:36.951,PENDING,27E,a0cab12df09a40743a1fc7ce3ed9fb2a1e34ac04ffe01dd12371d254642e679d,,,
B1126,P1114,94.0,2025-10-20 11:37:36.951,CONFIRMED,10E,1662c7047ff4c2abcd8d6f075904881a62dcd6cfa8bf5029254e7c3dd6832489,,,
B1127,P1579,111.0,2025-06-29 11:37:36.951,PENDING,2E,e8cfa1e951a826718bed6fba2eb04abaf6f73e9d871a8f955b3b3f2707306a09,,,
B1128,P1298,139.0,2026-04-08 11:37:36.951,CONFIRMED,10D,742f734c2767995416630cc08e1d30bf669cc7e129c65bdc006aadd0a9e78a0e,,,
B1129,P1836,139.0,2025-09-18 11:37:36.951,PENDING,26F,c410880c10b4e3fc7564b09a079906272d778905c35de2fea445a7588fb7724f,12008.51,1.0,False
B1130,P1482,149.0,2025-12-26 11:37:36.951,CONFIRMED,34E,f09c0a93b6e2e17f6d074be07ea4737344d3cc00dc7f0e25cb34d16c37f9e0e4,,,
B1131,P1396,138.0,2025-06-16 11:37:36.951,CANCELLED,1C,2b93216a02a743cebeffd49b6bc7e3fea828e5bdd95db47fffa084819d325ef7,3592.91,1.0,False
B1132,P1393,131.0,2025-06-20 11:37:36.951,CONFIRMED,10D,706954c03a671001c7fba577294209a25b6c020b641dd8fb2efeaf52e7ba92f4,4677.7,3.0,True
B1133,P1074,144.0,2025-12-29 11:37:36.951,CANCELLED,23D,d378f468ed0457718dd6adc6ce43a1e1d97ec4e93ffeac715a5c81c61ccee85f,14200.43,2.0,True
B1134,P1977,124.0,2025-07-28 11:37:36.951,CONFIRMED,34C,0a9256c654868404800f4c10c90b883a74f577a5d58aa5cc846c6698fa305cb0,,,
B1135,P1481,127.0,2025-12-02 11:37:36.951,CONFIRMED,20E,19675c77c0ce2ef17d8dbe293f974b9e9878b220f3e00a2dced8a1e7c7cfdccd,10501.09,1.0,False
B1136,P1102,152.0,2025-10-26 11:37:36.951,PENDING,28E,1a8e2ee9604dd7baf434702843922d7d093a7539b1b628a0986fd311763d1d39,2857.01,1.0,False
B1137,P1296,113.0,2025-09-01 11:37:36.951,PENDING,13E,3ffce22827c5a12c076c6e39d5512e0f37e323e1e3c80526292cb1a9f0db1ed0,10092.76,2.0,True
B1138,P1177,159.0,2025-07-14 11:37:36.951,PENDING,6C,d55b6e72cb263db97dc387952fd9715fc0d732c4f2ead83eda0eb6de44852f69,,,
B1139,P1214,147.0,2026-01-19 11:37:36.951,CONFIRMED,29F,bbae7556e98aab266b76d0ed93074d60e1157aa75fe7a0be96edcef35e1ad151,6016.05,1.0,False
B1140,P1966,146.0,2026-01-23 11:37:36.951,CONFIRMED,29D,f8f7cdc9ecb48ca59a0a47659d7090a4dec094dc8f70ae76792ad3b3c4424b0a,8447.38,2.0,True
B1141,P1314,119.0,2025-10-28 11:37:36.951,CONFIRMED,9C,49d97b1c4c7dc5b601c293d854421aa2372849e9e60dbb3a0ce0f1f085886468,,,
B1142,P1038,122.0,2026-01-21 11:37:36.951,CANCELLED,5C,fcde0e2b5da25ae6222d8984a093525203d8cb65521060a26d25984d886bba42,4506.21,1.0,False
B1143,P1258,154.0,2026-04-07 11:37:36.951,CANCELLED,15A,afdc34ca2d557c15ccea4f595211b06ba5aea4227c1c1e58ec171f60eb6cfa15,6360.73,1.0,False
B1144,P1715,163.0,2025-09-26 11:37:36.951,CONFIRMED,6D,7d87c96db5c0306d4222f2386deb1d02d31a0a7af1921c8ff502f31c8c1153b2,0.0,1.0,False
B1145,P1006,114.0,2025-08-23 11:37:36.951,PENDING,15D,c42e261739311d312793d72db4aa9e2c888f3e72fe587c2ebd50382d863bfbf3,,,
B1146,P1048,148.0,2025-08-30 11:37:36.951,PENDING,25A,b7639e905434a697b08b0dd3937856bc2dedf1b077c32ff2c5756668827f5581,0.0,1.0,False
B1147,P1537,126.0,2026-03-25 11:37:36.951,PENDING,11E,50a1a04ea43fe448fc8c2fc25bcbe1574063ef166b710e7c5c9f040538b4b599,,,
B1148,P1160,157.0,2025-10-13 11:37:36.951,CONFIRMED,19A,1824f7428d639b2813364e445436dedd9fcdae36a4f4b6236a9b5ecb9bd67f37,,,
B1149,P1868,150.0,2026-01-08 11:37:36.951,PENDING,30F,1070d881d49cf2af367820fdfc0a701fef3825e11cf40852b0c33931378f52c2,12393.75,2.0,True
B1150,P1175,123.0,2025-09-25 11:37:36.951,CONFIRMED,12A,3b18d93f584be98b315591447e52842cbc96bb65475165c52d60b73be5f4a453,12535.73,1.0,False
B1151,P1590,174.0,2026-01-18 11:37:36.951,CANCELLED,29B,14689b785bc985f0532befadaee10d858e5f410759b91bc61f46bb4a80bec0c6,0.0,1.0,False
B1152,P1001,128.0,2025-08-14 11:37:36.951,PENDING,27A,9fbb2208f976683265b49c7e742f5ce3043bdb2b93f6f711ca080266af97058a,,,
B1153,P1894,135.0,2025-12-20 11:37:36.951,CANCELLED,8D,27fa8ad298e54db4d32b9a720396c0a605dafc7c85cb1df36c2cb9e571b585f6,5774.24,1.0,False
B1154,P1454,136.0,2026-02-17 11:37:36.951,PENDING,24A,3c315599a219a4238a63f57f70ce0ecc1e3a2837a9b094479575876402c7e0b3,9979.51,1.0,False
B1155,P1927,158.0,2025-10-08 11:37:36.951,CONFIRMED,6D,ab2ce452d61eed454d17f351dd066f2e8fd87705bdc14dfabd92740f770007c6,,,
B1156,P1643,125.0,2026-03-25 11:37:36.951,CONFIRMED,5E,18105491da73b71e3b58f9eef13af92656c66ab882b94c03f3d265591c4ee9f4,3413.47,1.0,False
B1157,P1275,134.0,2025-06-28 11:37:36.951,CONFIRMED,18B,d05f1dac37acdbb5bbbba2a6f923cb43bb571849a5acd831ac9765f96726fee7,7902.25,1.0,False
